[2017-07-11 17:57:51.481] [DEBUG] init - HOST: 127.0.0.1
[2017-07-11 17:57:51.486] [DEBUG] init - PORT: 3306
[2017-07-11 17:57:51.488] [DEBUG] init - DB  : game_100001
[2017-07-11 17:57:51.494] [DEBUG] init - USER: 98055b5eef05054c766897b22dc5214f
[2017-07-11 17:57:51.498] [DEBUG] init - PSWD: 98055b5eef05054c766897b22dc5214f
[2017-07-11 17:57:51.559] [DEBUG] init - HOST: 127.0.0.1
[2017-07-11 17:57:51.560] [DEBUG] init - PORT: 3306
[2017-07-11 17:57:51.568] [DEBUG] init - DB  : log_100001
[2017-07-11 17:57:51.571] [DEBUG] init - USER: 98055b5eef05054c766897b22dc5214f
[2017-07-11 17:57:51.573] [DEBUG] init - PSWD: 98055b5eef05054c766897b22dc5214f
[2017-07-11 17:57:51.593] [DEBUG] init - create database success
[2017-07-11 17:57:51.611] [DEBUG] init - All SQL:  67
[2017-07-11 17:57:51.616] [DEBUG] init - create database success
[2017-07-11 17:57:51.625] [DEBUG] init - All SQL:  10
[2017-07-11 17:57:51.653] [DEBUG] init - SQL:  67  success
[2017-07-11 17:57:51.657] [DEBUG] init - SQL:  10  success
[2017-07-11 17:57:51.658] [DEBUG] init - SQL:  67  success
[2017-07-11 17:57:51.668] [DEBUG] init - SQL:  10  success
[2017-07-11 17:57:51.669] [DEBUG] init - SQL:  67  success
[2017-07-11 17:57:51.679] [DEBUG] init - SQL:  67  success
[2017-07-11 17:57:51.686] [DEBUG] init - SQL:  10  success
[2017-07-11 17:57:51.691] [DEBUG] init - SQL:  10  success
[2017-07-11 17:57:51.693] [DEBUG] init - SQL:  10  success
[2017-07-11 17:57:51.702] [DEBUG] init - SQL:  10  success
[2017-07-11 17:57:51.705] [DEBUG] init - SQL:  67  success
[2017-07-11 17:57:51.713] [DEBUG] init - SQL:  10  success
[2017-07-11 17:57:51.715] [DEBUG] init - SQL:  67  success
[2017-07-11 17:57:51.724] [DEBUG] init - SQL:  10  success
[2017-07-11 17:57:51.726] [DEBUG] init - SQL:  67  success
[2017-07-11 17:57:51.735] [DEBUG] init - SQL:  10  success
[2017-07-11 17:57:51.739] [WARN] init - ER_EMPTY_QUERY: Query was empty
[2017-07-11 17:57:51.749] [DEBUG] init - SQL:  67  success
[2017-07-11 17:57:51.751] [DEBUG] init - SQL:  67  success
[2017-07-11 17:57:51.759] [DEBUG] init - SQL:  67  success
[2017-07-11 17:57:51.770] [DEBUG] init - SQL:  67  success
[2017-07-11 17:57:51.773] [DEBUG] init - SQL:  67  success
[2017-07-11 17:57:51.781] [DEBUG] init - SQL:  67  success
[2017-07-11 17:57:51.784] [DEBUG] init - SQL:  67  success
[2017-07-11 17:57:51.785] [DEBUG] init - SQL:  67  success
[2017-07-11 17:57:51.792] [DEBUG] init - SQL:  67  success
[2017-07-11 17:57:51.802] [DEBUG] init - SQL:  67  success
[2017-07-11 17:57:51.807] [DEBUG] init - SQL:  67  success
[2017-07-11 17:57:51.819] [DEBUG] init - SQL:  67  success
